primary_category,subcategory,term
"Policy Issues & Topics","Economy & Taxes","Taxes"
"Policy Issues & Topics","Economy & Taxes","Inflation"
"Policy Issues & Topics","Economy & Taxes","Jobs/Unemployment"
"Policy Issues & Topics","Economy & Taxes","Wages"
"Policy Issues & Topics","Economy & Taxes","Budget/Spending"
"Policy Issues & Topics","Economy & Taxes","Debt/Deficit"
"Policy Issues & Topics","Economy & Taxes","Small Business"
"Policy Issues & Topics","Economy & Taxes","Trade"
"Policy Issues & Topics","Social Issues","Abortion"
"Policy Issues & Topics","Social Issues","LGBTQ+ Rights"
"Policy Issues & Topics","Social Issues","Marriage Equality"
"Policy Issues & Topics","Social Issues","Religious Freedom"
"Policy Issues & Topics","Social Issues","Family Values"
"Policy Issues & Topics","Social Issues","Marijuana/Cannabis"
"Policy Issues & Topics","Healthcare","Medicare"
"Policy Issues & Topics","Healthcare","Medicaid"
"Policy Issues & Topics","Healthcare","Affordable Care Act/Obamacare"
"Policy Issues & Topics","Healthcare","Prescription Drugs"
"Policy Issues & Topics","Healthcare","Mental Health"
"Policy Issues & Topics","Healthcare","Healthcare Costs"
"Policy Issues & Topics","Public Safety & Justice","Crime"
"Policy Issues & Topics","Public Safety & Justice","Guns/Gun Control"
"Policy Issues & Topics","Public Safety & Justice","Police/Law Enforcement"
"Policy Issues & Topics","Public Safety & Justice","Criminal Justice Reform"
"Policy Issues & Topics","Public Safety & Justice","Border Security"
"Policy Issues & Topics","Public Safety & Justice","Immigration"
"Policy Issues & Topics","Environment & Energy","Climate Change"
"Policy Issues & Topics","Environment & Energy","Renewable Energy"
"Policy Issues & Topics","Environment & Energy","Fossil Fuels"
"Policy Issues & Topics","Environment & Energy","Conservation"
"Policy Issues & Topics","Environment & Energy","Pollution"
"Policy Issues & Topics","Environment & Energy","Water Quality"
"Policy Issues & Topics","Education","Public Schools"
"Policy Issues & Topics","Education","College Affordability"
"Policy Issues & Topics","Education","Student Loans"
"Policy Issues & Topics","Education","School Choice"
"Policy Issues & Topics","Education","Teachers/Teacher Pay"
"Policy Issues & Topics","Education","Curriculum"
"Policy Issues & Topics","Government Reform","Corruption"
"Policy Issues & Topics","Government Reform","Election Integrity"
"Policy Issues & Topics","Government Reform","Voting Rights"
"Policy Issues & Topics","Government Reform","Campaign Finance"
"Policy Issues & Topics","Government Reform","Term Limits"
"Policy Issues & Topics","Government Reform","Lobbying"
"Candidate & Entity Identifiers","Candidate Elements","Name (Exact)"
"Candidate & Entity Identifiers","Candidate Elements","Party Affiliation"
"Candidate & Entity Identifiers","Candidate Elements","Previous Office"
"Candidate & Entity Identifiers","Candidate Elements","Current Office"
"Candidate & Entity Identifiers","Candidate Elements","Candidate Biography"
"Candidate & Entity Identifiers","Candidate Elements","Family References"
"Candidate & Entity Identifiers","Political Parties","Democratic"
"Candidate & Entity Identifiers","Political Parties","Republican"
"Candidate & Entity Identifiers","Political Parties","Independent"
"Candidate & Entity Identifiers","Political Parties","Third Party"
"Candidate & Entity Identifiers","Political Parties","Progressive"
"Candidate & Entity Identifiers","Political Parties","Conservative"
"Candidate & Entity Identifiers","Opposition Elements","Opponent Name"
"Candidate & Entity Identifiers","Opposition Elements","Opponent Party"
"Candidate & Entity Identifiers","Opposition Elements","Opponent Criticism"
"Candidate & Entity Identifiers","Opposition Elements","Contrast Points"
"Candidate & Entity Identifiers","External Endorsements","Local Organizations"
"Candidate & Entity Identifiers","External Endorsements","National Organizations"
"Candidate & Entity Identifiers","External Endorsements","Unions"
"Candidate & Entity Identifiers","External Endorsements","Political Leaders"
"Candidate & Entity Identifiers","External Endorsements","Celebrities"
"Candidate & Entity Identifiers","External Endorsements","Newspapers"
"Communication Style & Format","Message Tone","Positive"
"Communication Style & Format","Message Tone","Negative"
"Communication Style & Format","Message Tone","Contrast"
"Communication Style & Format","Message Tone","Informational"
"Communication Style & Format","Message Tone","Attack"
"Communication Style & Format","Message Tone","Defensive"
"Communication Style & Format","Mail Piece Types","Postcard"
"Communication Style & Format","Mail Piece Types","Mailer"
"Communication Style & Format","Mail Piece Types","Doorhanger"
"Communication Style & Format","Mail Piece Types","Brochure"
"Communication Style & Format","Mail Piece Types","Letter"
"Communication Style & Format","Mail Piece Types","Push Card"
"Communication Style & Format","Message Focus","Introduction"
"Communication Style & Format","Message Focus","Issue-Based"
"Communication Style & Format","Message Focus","Biography"
"Communication Style & Format","Message Focus","Endorsement"
"Communication Style & Format","Message Focus","Comparison"
"Communication Style & Format","Message Focus","Get Out The Vote (GOTV)"
"Communication Style & Format","Message Focus","Early Voting"
"Communication Style & Format","Message Focus","Ballot Initiative"
"Communication Style & Format","Visual Design Elements","Color Scheme"
"Communication Style & Format","Visual Design Elements","Photography Style"
"Communication Style & Format","Visual Design Elements","Graphic Elements"
"Communication Style & Format","Visual Design Elements","Typography"
"Communication Style & Format","Visual Design Elements","Layout Style"
"Geographic & Demographic Targeting","Geographic Level","National"
"Geographic & Demographic Targeting","Geographic Level","Statewide"
"Geographic & Demographic Targeting","Geographic Level","Congressional District"
"Geographic & Demographic Targeting","Geographic Level","State Legislative District"
"Geographic & Demographic Targeting","Geographic Level","County Level"
"Geographic & demographic Targeting","Geographic Level","Municipal/City"
"Geographic & Demographic Targeting","Geographic Level","Ward/Precinct"
"Geographic & Demographic Targeting","Specific Locations","California"
"Geographic & Demographic Targeting","Specific Locations","Texas"
"Geographic & Demographic Targeting","Specific Locations","New York"
"Geographic & Demographic Targeting","Specific Locations","Georgia"
"Geographic & Demographic Targeting","Specific Locations","Florida"
"Geographic & Demographic Targeting","Specific Locations","Michigan"
"Geographic & Demographic Targeting","Target Audience Demographics","Age Group"
"Geographic & Demographic Targeting","Target Audience Demographics","Gender"
"Geographic & Demographic Targeting","Target Audience Demographics","Race/Ethnicity"
"Geographic & Demographic Targeting","Target Audience Demographics","Education Level"
"Geographic & Demographic Targeting","Target Audience Demographics","Income Level"
"Geographic & Demographic Targeting","Target Audience Demographics","Political Affiliation"
"Geographic & Demographic Targeting","Target Audience Demographics","Issue Interest Groups"
"Campaign Context","Election Type","General Election"
"Campaign Context","Election Type","Primary Election"
"Campaign Context","Election Type","Special Election"
"Campaign Context","Election Type","Runoff"
"Campaign Context","Election Type","Recall"
"Campaign Context","Election Year","2024"
"Campaign Context","Election Year","2022"
"Campaign Context","Election Year","2020"
"Campaign Context","Election Year","(other years)"
"Campaign Context","Office Sought","Presidential"
"Campaign Context","Office Sought","Senate"
"Campaign Context","Office Sought","House"
"Campaign Context","Office Sought","Governor"
"Campaign Context","Office Sought","State Legislature"
"Campaign Context","Office Sought","Local Office"
"Campaign Context","Office Sought","Ballot Measure"
"Campaign Context","Campaign Phase","Early Campaign"
"Campaign Context","Campaign Phase","Late Campaign"
"Campaign Context","Campaign Phase","GOTV Period"
"Campaign Context","Campaign Phase","Election Day"
"Document Metadata","File Type","PDF"
"Document Metadata","File Type","JPG/JPEG"
"Document Metadata","File Type","PNG"
"Document Metadata","File Type","Other"
"Document Metadata","Creation Timeline","Publication Date"
"Document Metadata","Creation Timeline","Distribution Date"
"Document Metadata","Creation Timeline","Filing Date"
